id,name,imageUrl,startDatetime,endDatetime,venue,block,delayed,expectedStartTime,notification,team1,team2,category
11,Volleyball,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-15T13:00,2024-06-15T14:30,Main Court,Block A,No,,Yes,Raman,Ramanuja,Sports
12,Robotics Workshop,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-18T10:00,2024-06-18T12:00,Tech Lab,Block H,No,,Yes,Raman,Ramanuja,Sci-Tech
13,Hockey,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-20T09:00,2024-06-20T11:00,Hockey Field,Block I,No,,Yes,Charaka,Susruta,Sports
14,Chess,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-22T14:00,2024-06-22T16:00,Chess Hall,Block J,No,,Yes,Raman,Kalam,Sports
15,Debate Competition,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-24T15:00,2024-06-24T17:00,Auditorium,Block K,No,,Yes,Raman,Ramanuja,Cultural
16,Hackathon,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-26T09:00,2024-06-27T09:00,Computer Lab,Block L,No,,Yes,Raman,Ramanuja,Sci-Tech
17,Photography Contest,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-28T10:00,2024-06-28T16:00,Campus-wide,All Blocks,No,,Yes,Raman,Ramanuja,Cultural
18,Badminton,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-29T11:00,2024-06-29T13:00,Sports Complex,Block M,No,,Yes,Gargi,Bhaskara,Sports
19,Robotics Competition,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-06-30T10:00,2024-06-30T18:00,Tech Arena,Block N,No,,Yes,Raman,Ramanuja,Sci-Tech
20,Battle of Bands,https://images.unsplash.com/photo-1494790108377-be9c29b29330?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=facearea&facepad=2&w=256&h=256&q=80,2024-07-01T18:00,2024-07-01T22:00,Open Air Theater,Block O,No,,Yes,Raman,Ramanuja,Cultural
